Constituency,Winner_Party,Winner_Alliance,Electors_2026,New_Voters,Elector_Growth,DMK_Alliance_Share,AIADMK_Alliance_Share,NTK_share,DMK_share_adj,AIADMK_share_adj,TVK_share_adj,Others_share_adj,Winner_adj,LR_DMK_WinProb,Seat_Risk
Alandur,DMK,DMK_Alliance,296052,0.0,0.9065193627308386,0.4912071873514728,0.3205622689284167,0.06942557549705364,0.47431586202918163,0.23740209175028845,0.21415149911371956,0.0741305471068105,DMK_Alliance,0.9989483524642994,DMK Safe
Alangudi,DMK,DMK_Alliance,210296,0.0,0.8909073193050536,0.5117200684349577,0.3613086439869182,0.09006529253616695,0.5338131316758892,0.34465999883532894,0.09968932597099589,0.021837543517785895,DMK_Alliance,0.9993825110488049,DMK Safe
Alangulam,AIADMK,AIADMK_Alliance,253408,0.0,0.9066378536187447,0.3470350603013594,0.37826693794906574,0.06152507887830625,0.31912855663817474,0.3017503238608205,0.2026305113229706,0.17649060817803405,DMK_Alliance,0.21477457352417917,AIADMK Safe
Ambasamudram,AIADMK,AIADMK_Alliance,225714,0.0,0.924803435122323,0.3843742437289299,0.47957294252058463,0.07730145598009916,0.36523420732622347,0.41919688951762435,0.19404069784388475,0.02152820531226735,AIADMK_Alliance,0.0709536482025345,AIADMK Safe
Ambattur,DMK,DMK_Alliance,330480,399.0,1.0012087942050587,0.4767144266101815,0.3013245997694539,0.09446980636623539,0.49022545706519455,0.26045907028961013,0.1445841490709667,0.10473132357422872,DMK_Alliance,0.9994346276946432,DMK Safe
Ambur,DMK,DMK_Alliance,212631,0.0,0.8702330378410235,0.5086407537750594,0.39489987519535863,0.05706158153341054,0.516960029580394,0.37469625496827264,0.08715980609660627,0.021183909354727082,DMK_Alliance,0.9947610613925103,DMK Safe
Anaikattu,DMK,DMK_Alliance,234738,0.0,0.8639284531301755,0.4810747958848361,0.4489219180506054,0.04107580698162332,0.4479227075709415,0.3765743669571758,0.15526742084985617,0.020235504622026612,DMK_Alliance,0.8367751532095181,DMK Safe
Andipatti,DMK,DMK_Alliance,254549,0.0,0.8843727200083382,0.446411186408323,0.40566478953899016,0.05352677293118259,0.4325076828241176,0.3503071104698403,0.15659922776042634,0.06058597894561577,DMK_Alliance,0.8613562166640996,DMK Safe
Anna Nagar,DMK,DMK_Alliance,181402,0.0,0.7999029896816298,0.48489363764113,0.3186570237922179,0.06302999466976789,0.4871037569879809,0.27927571489392683,0.12163474902137772,0.11198577909671449,DMK_Alliance,0.9991719109617652,DMK Safe
Anthiyur,DMK,DMK_Alliance,205737,0.0,0.8491458476930253,0.4484281543215126,0.4411996484961873,0.046659296425433004,0.4452278400068012,0.41249784349372487,0.10059082545642652,0.041683491043047464,DMK_Alliance,0.6893985194688176,DMK Safe
Arakkonam,AIADMK,AIADMK_Alliance,199165,0.0,0.8458692919271541,0.339707838424381,0.4982089935360418,0.0853557510559354,0.327392218529666,0.4566673182758058,0.17607032961137986,0.039870133583148254,AIADMK_Alliance,0.007352795709889547,AIADMK Safe
Arani,AIADMK,AIADMK_Alliance,253022,0.0,0.8318959990267992,0.45087209039752146,0.4734037268202798,0.047380115796984944,0.4063577701743095,0.3809334171491797,0.19254811483941692,0.02016069783709381,DMK_Alliance,0.36283501691276904,AIADMK Safe
Aranthangi,INC,DMK_Alliance,227588,0.0,0.9859336755691295,0.4869739598210035,0.3031395791678568,0.10984956679044082,0.5059331373112541,0.2582764144732984,0.1645445852844911,0.0712458629309564,DMK_Alliance,0.9998541333747649,DMK Safe
Aravakurichi,DMK,DMK_Alliance,194505,0.0,0.7994845615073494,0.5271689420373319,0.3870557945729869,0.040584030624343646,0.4969808728207785,0.31043030619789774,0.17210179007797324,0.020487030903350557,DMK_Alliance,0.9973411825882068,DMK Safe
Arcot,DMK,DMK_Alliance,243565,0.0,0.8452011631861306,0.49518330147623113,0.40005052647635025,0.05761924963415971,0.4716522732077779,0.3273591089058831,0.18012029116935185,0.020868326716987115,DMK_Alliance,0.9857082556151063,DMK Safe
Ariyalur,DMK,DMK_Alliance,261161,0.0,0.8441567676767677,0.46164946164946163,0.4472904872904873,0.05481629481629482,0.4461078983672783,0.3972029958607973,0.1358906171978694,0.02079848857405488,DMK_Alliance,0.721882639366656,DMK Safe
Aruppukkottai,DMK,DMK_Alliance,206497,0.0,0.8780903702065774,0.5317725947862454,0.3185612233573402,0.07238275477362865,0.5341214216608636,0.2651271508861601,0.15658334596804713,0.04416808148492908,DMK_Alliance,0.9999094331082143,DMK Safe
Athoor,DMK,DMK_Alliance,259846,0.0,0.8226827754771222,0.7210968078629207,0.1315038705749326,0.07466295555362268,0.7452766374038978,0.07410750186774717,0.1360141241572735,0.04460173657108151,DMK_Alliance,0.9999999999403002,DMK Safe
Attur,AIADMK,AIADMK_Alliance,226481,0.0,0.8254523056288543,0.4358150223036602,0.47715314178719653,0.051230831618629936,0.4002398238293652,0.3969370892754924,0.18236345767486078,0.02045962922028152,DMK_Alliance,0.254947442897101,AIADMK Safe
Avadi,DMK,DMK_Alliance,428772,15411.0,1.0372821819184683,0.4994134790165057,0.3220814350324165,0.09998105852914495,0.48964286979402694,0.23276468688524532,0.24785494922049278,0.029737494100235157,DMK_Alliance,0.9993752713218803,DMK Safe
Avanashi,AIADMK,AIADMK_Alliance,250346,0.0,0.857143835381929,0.3121992973611065,0.5637148621764875,0.062343916812069966,0.2927462378474792,0.5207739358872632,0.16084364956007074,0.025636176705186725,AIADMK_Alliance,9.535427525401263e-05,AIADMK Safe
Bargur,DMK,DMK_Alliance,237349,0.0,0.8736312071878416,0.4917283501193221,0.42795170489018325,0.05113153743477733,0.4751161412278457,0.37776506608674415,0.1265080971502658,0.020610695535144417,DMK_Alliance,0.9553802611980128,DMK Safe
Bhavani,AIADMK,AIADMK_Alliance,221393,0.0,0.80032751565279,0.38926434441492663,0.5011048489212205,0.05199493507460834,0.3572162908903751,0.42471694728203696,0.1971806235206472,0.02088613830694065,AIADMK_Alliance,0.019586114257926158,AIADMK Safe
Bhavanisagar,AIADMK,AIADMK_Alliance,235584,0.0,0.855101922295139,0.41468935567665666,0.5054570293218725,0.042464612822647796,0.38840537702173705,0.44486305620502514,0.1462360139126405,0.020495552860597278,AIADMK_Alliance,0.03975275962813506,AIADMK Safe
Bhuvanagiri,AIADMK,AIADMK_Alliance,230968,0.0,0.8528122703826372,0.4473106281540841,0.4891994015164963,0.03529023913980676,0.4198395496849427,0.42963100630945567,0.13030122551100998,0.020228218494591766,AIADMK_Alliance,0.20514841142779727,AIADMK Safe
Bodinayakanur,AIADMK,AIADMK_Alliance,261631,0.0,0.8867404625688023,0.4144835773644638,0.4657929653856002,0.05174235899345888,0.3972225776931349,0.4114541056565454,0.15951037461294057,0.031812942037379166,AIADMK_Alliance,0.15203115121012986,AIADMK Safe
Chengalpattu,DMK,DMK_Alliance,366400,0.0,0.9731920646599007,0.47639253229813894,0.37910590432964714,0.09802726871394848,0.44267638897748185,0.2731485407873391,0.2628319823362535,0.021343087898925545,DMK_Alliance,0.9899273882486935,DMK Safe
Chengam,DMK,DMK_Alliance,266629,0.0,0.8667366655397498,0.48261219022103147,0.4433132395624023,0.05394061174369279,0.4404863358442667,0.3546961099556383,0.1846502682193483,0.02016728598074672,DMK_Alliance,0.8797281051915294,DMK Safe
Chepauk-Thiruvallikeni,DMK,DMK_Alliance,163866,0.0,0.8681964364241322,0.6789054255667553,0.1741566900767803,0.06690440668097959,0.6954149284634802,0.12230584981374154,0.1286762921361584,0.0536029295866199,DMK_Alliance,0.9999999990919346,DMK Safe
Cheyyar,DMK,DMK_Alliance,238283,0.0,0.8088686572433365,0.4777580900867295,0.42053996083185674,0.056849762193416024,0.4538419453606859,0.35056384045661776,0.1747663706217095,0.020827843560986856,DMK_Alliance,0.9378326018335094,DMK Safe
Cheyyur,VCK,DMK_Alliance,202055,0.0,0.8212149046512006,0.46198079499776684,0.45646493970522556,0.05389124609200536,0.4120259614439749,0.3526830983919852,0.21512528446561918,0.020165655698420597,DMK_Alliance,0.7333890258889425,DMK Safe
Chidambaram,AIADMK,AIADMK_Alliance,229136,0.0,0.9097861087839528,0.4091801562022776,0.5015543871896679,0.04947314455255465,0.3915813079633154,0.4541407730327731,0.13350672650360187,0.020771192500309742,AIADMK_Alliance,0.0485172680879372,AIADMK Safe
Coimbatore (North),AIADMK,AIADMK_Alliance,291533,12963.0,1.0465340847901785,0.38192002919146545,0.4016489233181623,0.056376017633223044,0.36305465859082464,0.33276836869923093,0.1768971318702991,0.12727984083964528,DMK_Alliance,0.3299984941961546,AIADMK Safe
Coimbatore (South),BJP,AIADMK_Alliance,186509,0.0,0.8773219686813523,0.2738539075372339,0.34380512389752205,0.027784059703421318,0.2597414015630787,0.309752965622419,0.08775489353168817,0.34275073928281413,Others,0.024164547496718862,AIADMK Safe
Colachal,INC,DMK_Alliance,263448,12117.0,1.048211322916791,0.495608545709929,0.36717148806628447,0.09948133290338801,0.47754493596971487,0.2876923010003929,0.2074218153259091,0.027340947703983213,DMK_Alliance,0.9986739582883133,DMK Safe
Coonoor,DMK,DMK_Alliance,175820,0.0,0.9417902692742398,0.4548665273567413,0.4246622715366277,0.05335962562910204,0.439236152203054,0.3660593582551319,0.16508001499079325,0.029624474551020685,DMK_Alliance,0.8952229215634548,DMK Safe
Cuddalore,DMK,DMK_Alliance,221152,0.0,0.8846044615821537,0.4646293152235427,0.44456349140938783,0.05254366734248713,0.4473846941583461,0.3914481146941208,0.1403986200155075,0.02076857113202553,DMK_Alliance,0.8146544617043582,DMK Safe
Cumbum,DMK,DMK_Alliance,253646,0.0,0.9128882490552457,0.518106538128785,0.308426646891608,0.06104066246446669,0.5180566187113046,0.26101425254412886,0.13492570914029217,0.08600341960427452,DMK_Alliance,0.9998031210502394,DMK Safe
Dharapuram,DMK,DMK_Alliance,220743,0.0,0.8283940841592519,0.46386688042228763,0.4566861349237851,0.034810893288863914,0.4520713593319767,0.4171126156713667,0.11013743216687423,0.020678592829782523,DMK_Alliance,0.6223781131411311,DMK Safe
Dharmapuri,PMK,AIADMK_Alliance,257939,0.0,0.8640188387252373,0.3624392061951015,0.4860283528042221,0.0400307362434605,0.32832407012705095,0.4078380287185347,0.19691543096601144,0.06692247018840282,AIADMK_Alliance,0.006827290235577174,AIADMK Safe
Dindigul,AIADMK,AIADMK_Alliance,237679,0.0,0.8867990702151713,0.3733535604095983,0.4643087772527394,0.07615904222060496,0.35543961174039146,0.40520069603678616,0.19476897484495584,0.04459071737786662,AIADMK_Alliance,0.06318467354238586,AIADMK Safe
Dr.Radhakrishnan Nagar,DMK,DMK_Alliance,195856,0.0,0.7623674120783948,0.512027675148508,0.2849000411705262,0.10927299266950762,0.534004778981642,0.23817583445046797,0.16335059414006303,0.0644687924278271,DMK_Alliance,0.9999688667863348,DMK Safe
Edappadi,AIADMK,AIADMK_Alliance,274054,0.0,0.8067553922737483,0.2804355825492012,0.6597385372481308,0.02679326003534155,0.24457076786474155,0.5883245753594492,0.1470408000203653,0.020063856755443976,AIADMK_Alliance,2.775613106221024e-07,AIADMK Safe
Egmore,DMK,DMK_Alliance,134879,0.0,0.823266232894271,0.5771059184546118,0.2629054841495418,0.052619664461604244,0.5829594350932793,0.22510732985291546,0.10480104895384423,0.08713218609996098,DMK_Alliance,0.9999980474976016,DMK Safe
Erode (East),INC,DMK_Alliance,176228,0.0,0.8438340946744429,0.44265540624979444,0.38409071476022283,0.07648796016759078,0.447905323122442,0.3530780384162703,0.12564837875403576,0.07336825970725197,DMK_Alliance,0.9689840602211629,DMK Safe
Erode (West),DMK,DMK_Alliance,245493,0.0,0.8693433526093438,0.49011328978154384,0.38266554463247704,0.06495313237246995,0.48034010231294105,0.32160952740219734,0.17527584182769457,0.02277452845716701,DMK_Alliance,0.9920453775231453,DMK Safe
Gandarvakkottai,CPI-M,DMK_Alliance,194732,0.0,0.8994092678893914,0.4422662098718437,0.3615594467707144,0.08032610074863596,0.43796594802593974,0.30728145006370344,0.17171459902752664,0.0830380028828302,DMK_Alliance,0.9859159828325088,DMK Safe
Gangavalli,AIADMK,AIADMK_Alliance,216794,0.0,0.8462400218592033,0.44078111344053444,0.48024964745875404,0.04998847203530238,0.41359167157656024,0.4166411192043492,0.14930723637000914,0.02045997284908151,AIADMK_Alliance,0.2923502861005758,AIADMK Safe
Gingee,DMK,DMK_Alliance,240957,0.0,0.8479146725972637,0.529896558391338,0.35683488012374326,0.04795050270688322,0.509467395830966,0.28057167224682245,0.18847079035607087,0.021490141566140646,DMK_Alliance,0.9991064218038,DMK Safe
Gobichettipalayam,AIADMK,AIADMK_Alliance,237581,0.0,0.8071596985819217,0.3735515514674656,0.5068484839999813,0.05468986984380323,0.3547406146646165,0.45532694570249144,0.1616893911455448,0.0282430484873473,AIADMK_Alliance,0.007887619413954442,AIADMK Safe
Gudalur,AIADMK,AIADMK_Alliance,183888,0.0,0.9682749469493926,0.4524255553064221,0.47497775881148874,0.052923179296527484,0.42934875865723726,0.4197589047469427,0.13047057233766418,0.020421764258155988,DMK_Alliance,0.5681906682054336,Marginal
